ID,Адрес,Ссылка,Цена,Количество комнат,Общая площадь,Жилая площадь,Год постройки,Срок сдачи,Широта,Долгота,Расстояние до центра (км),Цена за м²,Возраст дома,санузел_другое,санузел_не указано,санузел_раздельный,санузел_совмещенный,"санузел_совмещенный, раздельный",окна_во двор,окна_другое,окна_на улицу,окна_не указано,ремонт_дизайнерский,ремонт_другое,ремонт_евро,ремонт_косметический,ремонт_требует ремонта,Мебель_есть,Техника_есть,тип_дома_блочный,тип_дома_другое,тип_дома_кирпичный,тип_дома_монолитно-кирпичный,тип_дома_монолитный,тип_дома_панельный,Пассажирский лифт_есть,Грузовой лифт_есть,Двор_закрытый,Двор_дет_площадка,Двор_спорт_площадка,парковка_другое,парковка_за шлагбаумом во дворе,парковка_нет_парковки,парковка_открытая во дворе,парковка_подземная,вид_сделки_возможна ипотека,вид_сделки_другое,вид_сделки_продажа апартаментов в москве,вид_сделки_прямая продажа,способ_продажи_другое,способ_продажи_не указано,способ_продажи_свободная,Этаж_относительный,Первый_этаж,Последний_этаж
5228485963955464769,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464769/,30074891.0,1,43.0,16.4,2028.0,2028,55.726173,37.6368904,3.5086928104632458,699416.0697674418,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.708333,0,0
5228485963955464795,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464795/,47281285.0,3,85.5,46.0,2028.0,2028,55.726173,37.6368904,3.5086928104632458,552997.485380117,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.708333,0,0
5228485963955464833,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464833/,42183244.0,2,76.3,31.6,2028.0,2028,55.726173,37.6368904,3.5086928104632458,552860.3407601573,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.75,0,0
5228485963955464860,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464860/,33406498.0,1,52.4,15.9,2028.0,2028,55.726173,37.6368904,3.5086928104632458,637528.5877862596,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.75,0,0
5228485963955464866,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464866/,47877089.0,3,85.5,46.0,2028.0,2028,55.726173,37.6368904,3.5086928104632458,559965.9532163743,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.791667,0,0
5228485963955464895,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464895/,34638309.0,1,58.3,17.9,2028.0,2028,55.726173,37.6368904,3.5086928104632458,594139.0909090909,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.833333,0,0
5228485963955464925,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955464925/,32147185.0,1,45.5,18.4,2028.0,2028,55.726173,37.6368904,3.5086928104632458,706531.5384615385,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.833333,0,0
5228485963955466757,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955466757/,26115878.0,0,34.0,18.4,2028.0,2028,55.726173,37.6368904,3.5086928104632458,768114.0588235294,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.125,0,0
5228485963955466816,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955466816/,26131485.0,1,38.0,14.0,2028.0,2028,55.726173,37.6368904,3.5086928104632458,687670.6578947369,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.125,0,0
5228485963955466877,"Москва, ЦАО, район Замоскворечье",https://realty.yandex.ru/offer/5228485963955466877/,26115878.0,0,34.0,18.4,2028.0,2028,55.726173,37.6368904,3.5086928104632458,768114.0588235294,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0,0,False,False,False,False,True,False,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,0.25,0,0
